날짜	시간	기온	1시간 강수량	하늘상태	동서바람성분	남북바람성분	습도	강수형태	낙뢰	풍향	풍속
20190304	1700	16	0	1	1	-1.6	30	0	0	330	2
20190304	1800	15	0	1	0.6	-1.2	30	0	0	335	1.4
